"Table 1. Per Capita Personal Income, by County, 2018–2020",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in state,Percent change,,Rank in state
Boulder,"72,607","77,305","79,649",6,6.5,3.0,60
Broomfield,"68,365","65,397","67,495",11,-4.3,3.2,58
Chaffee,"46,488","48,991","51,361",30,5.4,4.8,51
Cheyenne,"39,384","52,633","61,731",19,33.6,17.3,6
Clear Creek,"59,243","62,927","67,132",13,6.2,6.7,40
Conejos,"35,096","35,296","39,847",59,0.6,12.9,15
Costilla,"32,570","33,520","38,430",61,2.9,14.6,10
Crowley,"19,656","20,086","23,751",64,2.2,18.2,4
Custer,"40,117","42,383","45,691",48,5.6,7.8,32
Delta,"37,900","38,293","42,127",53,1.0,10.0,22
Denver,"77,667","83,192","85,411",5,7.1,2.7,61
Dolores,"36,047","37,942","42,093",54,5.3,10.9,20
Douglas,"76,051","76,408","78,980",7,0.5,3.4,57
Eagle,"81,871","85,253","87,872",3,4.1,3.1,59
Elbert,"58,344","60,702","63,970",16,4.0,5.4,49
El Paso,"48,545","50,845","54,151",25,4.7,6.5,41
Fremont,"34,654","35,713","38,952",60,3.1,9.1,27
Garfield,"57,918","60,376","62,581",17,4.2,3.7,56
Gilpin,"47,816","50,517","55,256",23,5.6,9.4,24
Grand,"51,717","53,867","57,476",22,4.2,6.7,39
Gunnison,"46,973","47,372","51,025",31,0.8,7.7,33
Hinsdale,"47,322","48,227","49,423",35,1.9,2.5,62
Huerfano,"38,921","40,974","46,859",45,5.3,14.4,11
Jackson,"53,671","53,747","62,008",18,0.1,15.4,8
Jefferson,"62,402","66,183","68,829",10,6.1,4.0,55
Kiowa,"44,092","53,319","66,839",14,20.9,25.4,2
Kit Carson,"36,174","41,914","47,198",43,15.9,12.6,16
Lake,"35,846","37,102","40,344",57,3.5,8.7,28
La Plata,"55,994","57,722","61,304",20,3.1,6.2,46
Larimer,"53,836","55,935","58,725",21,3.9,5.0,50
Las Animas,"37,987","38,161","43,118",51,0.5,13.0,14
Lincoln,"28,066","29,415","35,695",62,4.8,21.3,3
Logan,"43,833","42,751","46,217",47,-2.5,8.1,30
Mesa,"44,691","45,898","48,435",39,2.7,5.5,48
