"Table 1. Per Capita Personal Income, by County, 2018–2020",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in state,Percent change,,Rank in state
Cook,"54,255","54,021","56,220",28,-0.4,4.1,84
Cottonwood,"46,224","45,306","56,130",30,-2.0,23.9,5
Crow Wing,"44,425","46,053","49,092",71,3.7,6.6,71
Dakota,"60,539","61,977","64,748",6,2.4,4.5,82
Dodge,"45,757","46,516","51,585",58,1.7,10.9,35
Douglas,"51,458","52,139","56,039",32,1.3,7.5,65
Faribault,"40,793","42,944","50,321",65,5.3,17.2,17
Fillmore,"44,225","44,185","49,630",67,-0.1,12.3,28
Freeborn,"44,169","45,543","50,364",64,3.1,10.6,37
Goodhue,"53,617","54,722","58,303",24,2.1,6.5,72
Grant,"46,236","45,370","55,429",38,-1.9,22.2,6
Hennepin,"74,461","76,131","79,183",1,2.2,4.0,85
Houston,"50,599","51,566","55,443",37,1.9,7.5,64
Hubbard,"43,616","49,506","52,122",53,13.5,5.3,80
Isanti,"44,570","45,950","49,082",72,3.1,6.8,69
Itasca,"44,119","45,348","48,872",74,2.8,7.8,61
Jackson,"50,891","53,316","62,789",11,4.8,17.8,16
Kanabec,"41,793","43,250","48,092",75,3.5,11.2,33
Kandiyohi,"52,609","52,047","57,122",26,-1.1,9.8,41
Kittson,"49,233","46,418","63,181",8,-5.7,36.1,3
Koochiching,"42,319","45,763","49,019",73,8.1,7.1,66
Lac qui Parle,"48,854","50,540","60,286",18,3.5,19.3,13
Lake,"48,473","49,236","51,683",56,1.6,5.0,81
Lake of the Woods,"57,082","54,717","60,435",17,-4.1,10.5,38
Le Sueur,"48,800","50,038","54,361",42,2.5,8.6,55
Lincoln,"44,049","46,968","53,464",47,6.6,13.8,24
Lyon,"49,344","49,992","54,589",41,1.3,9.2,49
McLeod,"48,308","49,640","54,149",43,2.8,9.1,50
Mahnomen,"34,794","34,186","40,781",87,-1.7,19.3,12
Marshall,"50,342","49,025","63,090",10,-2.6,28.7,4
Martin,"50,865","52,242","57,955",25,2.7,10.9,34
Meeker,"44,042","44,873","49,478",68,1.9,10.3,39
Mille Lacs,"42,000","43,471","47,379",79,3.5,9.0,53
Morrison,"42,263","42,293","47,610",77,0.1,12.6,27
Mower,"45,464","46,221","50,537",63,1.7,9.3,46
Murray,"50,291","52,414","63,620",7,4.2,21.4,7
Nicollet,"48,552","49,652","53,083",49,2.3,6.9,68
Nobles,"43,870","44,897","53,881",44,2.3,20.0,11
Norman,"37,153","37,345","51,626",57,0.5,38.2,2
Olmsted,"58,183","59,450","63,100",9,2.2,6.1,73
Otter Tail,"47,182","48,116","52,707",51,2.0,9.5,43
Pennington,"55,622","56,612","61,825",14,1.8,9.2,48
Pine,"37,085","38,737","42,237",86,4.5,9.0,51
Pipestone,"54,290","54,055","59,326",20,-0.4,9.8,40
Polk,"46,019","47,089","55,849",34,2.3,18.6,14
Pope,"49,895","50,171","56,561",27,0.6,12.7,26
Ramsey,"53,728","55,442","58,557",22,3.2,5.6,79
Red Lake,"49,792","48,415","55,620",36,-2.8,14.9,23
Redwood,"49,591","53,572","61,772",15,8.0,15.3,21
Renville,"49,351","48,527","58,489",23,-1.7,20.5,10
Rice,"43,652","44,816","47,839",76,2.7,6.7,70
Rock,"50,509","50,595","59,225",21,0.2,17.1,18
Roseau,"49,013","48,237","55,999",33,-1.6,16.1,20
St. Louis,"46,769","48,216","50,986",61,3.1,5.7,77
Scott,"61,376","62,916","65,655",5,2.5,4.4,83
Sherburne,"46,776","47,802","50,710",62,2.2,6.1,75
Sibley,"45,909","47,932","53,677",46,4.4,12.0,29
Stearns,"46,305","47,483","51,216",60,2.5,7.9,58
Steele,"45,969","47,429","51,703",55,3.2,9.0,52
Stevens,"45,439","46,825","55,345",39,3.1,18.2,15
Swift,"49,216","48,734","56,060",31,-1.0,15.0,22
Todd,"42,147","43,113","47,123",82,2.3,9.3,47
Traverse,"52,791","51,487","74,000",3,-2.5,43.7,1
Wabasha,"47,643","49,096","53,837",45,3.0,9.7,42
Wadena,"39,477","40,131","43,925",85,1.7,9.5,44
Waseca,"41,775","42,148","47,139",81,0.9,11.8,30
Washington,"67,523","69,495","72,273",4,2.9,4.0,86
Watonwan,"43,256","45,378","53,034",50,4.9,16.9,19
Wilkin,"53,023","51,647","62,497",13,-2.6,21.0,9
Winona,"47,064","48,417","52,198",52,2.9,7.8,59
Wright,"50,890","52,035","55,218",40,2.2,6.1,74
Yellow Medicine,"51,140","54,077","61,315",16,5.7,13.4,25
,,,,,,,
Mississippi,"37,822","39,062","42,129",--,3.3,7.9,--
Adams,"33,741","35,171","38,331",47,4.2,9.0,36
Alcorn,"36,146","36,622","38,956",41,1.3,6.4,65
Amite,"34,755","35,482","37,692",54,2.1,6.2,66
Attala,"32,970","34,612","37,962",51,5.0,9.7,28
Benton,"30,870","31,413","34,691",72,1.8,10.4,21
Bolivar,"38,076","38,102","42,767",14,0.1,12.2,12
Calhoun,"32,428","33,690","38,017",50,3.9,12.8,11
Carroll,"37,627","38,098","41,624",22,1.3,9.3,31
Chickasaw,"34,432","36,206","40,254",31,5.2,11.2,17
Choctaw,"33,277","34,996","38,813",43,5.2,10.9,20
Claiborne,"30,524","31,580","34,852",68,3.5,10.4,22
Clarke,"37,534","38,710","42,207",16,3.1,9.0,35
Clay,"36,184","38,522","42,187",17,6.5,9.5,30
Coahoma,"34,602","37,050","40,781",28,7.1,10.1,24
Copiah,"32,988","34,056","36,414",65,3.2,6.9,61
Covington,"37,223","37,410","38,250",48,0.5,2.2,79
DeSoto,"41,695","42,575","45,764",5,2.1,7.5,56
Forrest,"38,441","39,104","42,175",18,1.7,7.9,52
Franklin,"33,767","35,842","38,355",46,6.1,7.0,60
George,"33,726","34,482","38,668",44,2.2,12.1,13
Greene,"27,889","28,975","31,102",82,3.9,7.3,58
Grenada,"35,571","36,642","40,296",30,3.0,10.0,26
Hancock,"34,782","36,243","39,455",37,4.2,8.9,37
Harrison,"37,073","38,245","41,534",24,3.2,8.6,38
Hinds,"38,549","40,176","43,452",10,4.2,8.2,45
Holmes,"28,108","29,967","33,567",78,6.6,12.0,14
Humphreys,"31,826","34,850","40,236",32,9.5,15.5,5
Issaquena,"21,654","26,748","38,921",42,23.5,45.5,1
Itawamba,"35,614","36,827","39,878",35,3.4,8.3,43
Jackson,"37,234","38,663","41,575",23,3.8,7.5,55
Jasper,"39,377","40,697","41,967",21,3.4,3.1,77
Jefferson,"34,309","35,326","38,101",49,3.0,7.9,51
Jefferson Davis,"30,306","30,640","33,434",79,1.1,9.1,33
Jones,"37,651","38,659","40,402",29,2.7,4.5,73
Kemper,"28,981","29,942","33,841",75,3.3,13.0,9
Lafayette,"42,819","43,865","46,037",4,2.4,5.0,71
Lamar,"39,625","40,582","43,227",11,2.4,6.5,64
Lauderdale,"37,635","39,481","42,673",15,4.9,8.1,48
Lawrence,"34,872","34,769","36,649",63,-0.3,5.4,70
Leake,"31,990","31,914","32,239",81,-0.2,1.0,82
Lee,"41,276","42,835","46,138",3,3.8,7.7,53
Leflore,"36,841","39,296","43,878",8,6.7,11.7,16
Lincoln,"38,537","39,466","42,121",19,2.4,6.7,63
Lowndes,"38,333","40,785","44,152",7,6.4,8.3,44
Madison,"63,894","65,334","68,381",1,2.3,4.7,72
Marion,"37,823","38,467","41,433",25,1.7,7.7,54
Marshall,"33,096","34,601","37,543",57,4.5,8.5,40
Monroe,"35,197","36,370","39,729",36,3.3,9.2,32
Montgomery,"33,868","35,526","39,432",38,4.9,11.0,19
Neshoba,"36,067","37,731","38,507",45,4.6,2.1,80
Newton,"35,116","36,017","37,484",58,2.6,4.1,75
Noxubee,"31,555","34,842","37,781",53,10.4,8.4,41
Oktibbeha,"34,543","35,408","37,853",52,2.5,6.9,62
Panola,"32,844","33,845","37,593",55,3.0,11.1,18
Pearl River,"36,369","37,849","40,201",33,4.1,6.2,67
Perry,"32,631","33,510","36,953",62,2.7,10.3,23
Pike,"30,772","31,673","34,718",71,2.9,9.6,29
Pontotoc,"33,007","33,953","37,342",59,2.9,10.0,25
Prentiss,"30,407","31,461","34,158",74,3.5,8.6,39
Quitman,"28,336","29,765","34,239",73,5.0,15.0,7
Rankin,"44,657","45,632","48,295",2,2.2,5.8,68
Scott,"31,449","31,657","32,840",80,0.7,3.7,76
Sharkey,"32,747","34,344","42,775",13,4.9,24.5,2
Simpson,"36,995","37,381","38,987",39,1.0,4.3,74
Smith,"35,968","36,086","36,494",64,0.3,1.1,81
Stone,"33,273","34,214","37,001",60,2.8,8.1,46
Sunflower,"30,039","30,865","35,454",67,2.7,14.9,8
Tallahatchie,"28,886","30,200","33,784",76,4.5,11.9,15
Tate,"35,594","37,032","40,134",34,4.0,8.4,42
Tippah,"36,755","38,248","42,051",20,4.1,9.9,27
Tishomingo,"33,988","35,052","37,593",55,3.1,7.2,59
Tunica,"32,016","35,554","40,994",27,11.1,15.3,6
Union,"32,197","33,657","36,387",66,4.5,8.1,47
Walthall,"31,720","32,414","34,814",69,2.2,7.4,57
Warren,"39,825","41,129","44,422",6,3.3,8.0,49
Washington,"36,753","37,699","43,778",9,2.6,16.1,4
Wayne,"34,910","35,887","36,967",61,2.8,3.0,78
Webster,"38,083","39,895","43,060",12,4.8,7.9,50
Wilkinson,"29,247","30,772","34,759",70,5.2,13.0,10
Winston,"35,202","36,845","38,970",40,4.7,5.8,69
Yalobusha,"36,881","37,892","41,336",26,2.7,9.1,34
Yazoo,"27,396","28,282","33,672",77,3.2,19.1,3
,,,,,,,
Missouri,"47,250","48,945","51,697",--,3.6,5.6,--
Adair,"32,071","32,852","34,867",102,2.4,6.1,85
Andrew,"42,913","45,556","48,186",15,6.2,5.8,90
Atchison,"38,102","46,412","53,958",5,21.8,16.3,4
Audrain,"36,992","38,057","42,029",53,2.9,10.4,31
Barry,"35,578","35,740","37,114",89,0.5,3.8,110
Barton,"34,500","35,404","42,031",51,2.6,18.7,2
Bates,"38,055","40,500","44,523",35,6.4,9.9,33
Benton,"37,119","38,401","40,318",69,3.5,5.0,98
Bollinger,"32,344","33,575","36,548",93,3.8,8.9,40
Boone,"46,674","49,114","51,330",8,5.2,4.5,105
Buchanan,"38,461","40,346","42,653",46,4.9,5.7,92
Butler,"35,403","36,122","40,255",71,2.0,11.4,20
Caldwell,"37,272","38,677","41,488",60,3.8,7.3,67
Callaway,"37,154","39,446","42,524",48,6.2,7.8,57
Camden,"37,656","38,767","40,778",67,3.0,5.2,97
Cape Girardeau,"45,070","45,469","47,386",18,0.9,4.2,108
Carroll,"42,295","46,568","50,990",10,10.1,9.5,35
Carter,"31,703","33,215","35,898",97,4.8,8.1,54
Cass,"46,998","48,541","50,654",11,3.3,4.4,107
Cedar,"30,814","31,439","34,130",104,2.0,8.6,43
Chariton,"41,120","43,955","49,650",13,6.9,13.0,10
Christian,"40,535","41,755","43,602",42,3.0,4.4,106
Clark,"33,439","35,733","40,825",66,6.9,14.3,7
Clay,"47,902","49,277","51,619",7,2.9,4.8,102
Clinton,"41,764","43,484","46,823",19,4.1,7.7,60
Cole,"46,057","48,726","51,905",6,5.8,6.5,81
Cooper,"38,260","40,091","44,486",36,4.8,11.0,22
Crawford,"35,485","36,035","38,430",81,1.5,6.6,79
Dade,"33,648","34,918","38,581",80,3.8,10.5,28
Dallas,"32,907","33,893","35,840",99,3.0,5.7,91
Daviess,"32,190","33,941","37,380",87,5.4,10.1,32
DeKalb,"27,878","34,340","36,799",91,23.2,7.2,69
Dent,"32,870","33,747","36,327",95,2.7,7.6,61
Douglas,"27,160","28,628","31,031",115,5.4,8.4,45
Dunklin,"34,129","36,310","38,821",79,6.4,6.9,73
Franklin,"44,343","46,258","48,108",16,4.3,4.0,109
Gasconade,"39,464","41,022","43,589",43,3.9,6.3,84
Gentry,"40,644","43,165","46,483",21,6.2,7.7,59
Greene,"44,068","45,981","47,388",17,4.3,3.1,114
Grundy,"34,037","35,358","39,098",77,3.9,10.6,27
Harrison,"34,937","36,562","41,238",61,4.7,12.8,12
Henry,"40,898","41,731","44,780",31,2.0,7.3,65
Hickory,"28,852","29,222","31,380",114,1.3,7.4,64
Holt,"44,023","50,307","56,644",4,14.3,12.6,13
Howard,"38,741","41,227","43,946",40,6.4,6.6,80
Howell,"33,833","35,152","37,414",86,3.9,6.4,82
Iron,"32,974","33,575","36,530",94,1.8,8.8,42
Jackson,"46,419","47,718","50,209",12,2.8,5.2,95
Jasper,"41,231","41,165","42,488",49,-0.2,3.2,112
Jefferson,"42,428","43,873","46,027",23,3.4,4.9,99
Johnson,"36,821","37,654","40,207",72,2.3,6.8,77
Knox,"32,422","35,416","40,933",64,9.2,15.6,5
Laclede,"36,054","36,219","38,403",82,0.5,6.0,87
Lafayette,"41,712","42,613","45,825",24,2.2,7.5,63
Lawrence,"34,103","34,635","36,746",92,1.6,6.1,86
Lewis,"34,402","36,476","39,481",74,6.0,8.2,49
Lincoln,"40,388","41,183","44,032",39,2.0,6.9,72
Linn,"38,548","39,244","42,456",50,1.8,8.2,52
Livingston,"37,653","39,489","43,804",41,4.9,10.9,23
McDonald,"28,882","29,844","31,941",113,3.3,7.0,71
Macon,"41,194","41,400","44,785",30,0.5,8.2,53
Madison,"35,657","37,034","40,312",70,3.9,8.9,41
Maries,"32,504","34,764","37,638",84,7.0,8.3,47
Marion,"39,992","41,119","44,121",38,2.8,7.3,66
Mercer,"30,926","31,725","35,358",101,2.6,11.5,19
Miller,"35,460","36,124","39,349",75,1.9,8.9,39
Mississippi,"29,749","31,838","37,483",85,7.0,17.7,3
Moniteau,"35,508","37,826","41,930",56,6.5,10.8,24
Monroe,"38,807","41,105","44,528",34,5.9,8.3,46
Montgomery,"39,565","41,711","46,688",20,5.4,11.9,16
Morgan,"41,208","41,653","42,880",45,1.1,2.9,115
New Madrid,"33,001","37,493","41,953",55,13.6,11.9,18
Newton,"38,594","39,704","41,771",58,2.9,5.2,96
Nodaway,"30,828","32,782","36,315",96,6.3,10.8,25
Oregon,"29,404","30,634","33,166",108,4.2,8.3,48
Osage,"43,953","45,571","49,250",14,3.7,8.1,55
Ozark,"30,772","31,228","33,722",106,1.5,8.0,56
Pemiscot,"33,817","36,420","40,931",65,7.7,12.4,15
Perry,"41,085","42,152","45,002",27,2.6,6.8,78
Pettis,"37,080","38,247","40,971",63,3.1,7.1,70
Phelps,"39,077","39,916","42,030",52,2.1,5.3,94
Pike,"33,280","36,631","40,471",68,10.1,10.5,29
Platte,"58,013","58,794","60,698",2,1.3,3.2,111
Polk,"34,060","35,248","36,944",90,3.5,4.8,101
Pulaski,"39,580","41,866","44,732",32,5.8,6.8,76
Putnam,"34,489","35,844","39,308",76,3.9,9.7,34
Ralls,"38,145","39,925","44,688",33,4.7,11.9,17
Randolph,"38,996","39,385","42,615",47,1.0,8.2,50
Ray,"41,923","43,317","46,047",22,3.3,6.3,83
Reynolds,"33,863","35,427","38,107",83,4.6,7.6,62
Ripley,"30,410","31,050","34,297",103,2.1,10.5,30
St. Charles,"53,760","55,138","56,879",3,2.6,3.2,113
St. Clair,"28,954","30,219","33,058",111,4.4,9.4,37
Ste. Genevieve,"41,079","41,903","44,925",28,2.0,7.2,68
St. Francois,"34,122","34,982","37,377",88,2.5,6.8,75
St. Louis,"71,604","74,361","78,804",1,3.9,6.0,88
Saline,"36,194","38,156","43,076",44,5.4,12.9,11
Schuyler,"29,500","29,553","33,550",107,0.2,13.5,9
Scotland,"32,240","34,488","41,576",59,7.0,20.6,1
Scott,"39,991","41,315","44,148",37,3.3,6.9,74
Shannon,"29,950","30,499","33,071",110,1.8,8.4,44
Shelby,"37,606","39,963","45,373",25,6.3,13.5,8
Stoddard,"34,704","37,650","41,158",62,8.5,9.3,38
Stone,"38,662","40,138","41,975",54,3.8,4.6,104
Sullivan,"36,809","38,963","44,877",29,5.9,15.2,6
Taney,"36,181","37,146","38,859",78,2.7,4.6,103
Texas,"28,041","29,601","32,774",112,5.6,10.7,26
Vernon,"34,157","35,089","39,496",73,2.7,12.6,14
Warren,"41,825","42,665","45,011",26,2.0,5.5,93
Washington,"29,726","30,752","33,148",109,3.5,7.8,58
Wayne,"29,545","31,094","34,018",105,5.2,9.4,36
Webster,"32,445","33,841","35,845",98,4.3,5.9,89
Worth,"34,001","37,652","41,861",57,10.7,11.2,21
Wright,"32,044","32,792","35,480",100,2.3,8.2,51
St. Louis City,"46,129","48,683","51,041",9,5.5,4.8,100
,,,,,,,
Montana,"48,021","50,099","53,361",--,4.3,6.5,--
Beaverhead,"45,349","48,070","52,501",25,6.0,9.2,30
Big Horn,"30,023","31,515","35,950",56,5.0,14.1,17
Blaine,"29,952","30,806","36,301",55,2.9,17.8,11
Broadwater,"43,116","45,732","48,786",40,6.1,6.7,42
Carbon,"51,259","53,870","56,900",11,5.1,5.6,47
Carter,"41,173","40,733","53,760",21,-1.1,32.0,2
Cascade,"47,529","49,201","52,226",26,3.5,6.1,44
Chouteau,"37,561","40,738","48,627",41,8.5,19.4,9
Custer,"44,581","47,174","51,268",27,5.8,8.7,36
Daniels,"47,574","49,331","64,205",2,3.7,30.2,4
Dawson,"46,795","46,622","50,972",29,-0.4,9.3,29
Deer Lodge,"38,910","40,985","45,039",44,5.3,9.9,26
Fallon,"48,488","49,763","54,203",19,2.6,8.9,32
Fergus,"42,019","45,588","48,900",39,8.5,7.3,40
Flathead,"48,333","50,144","52,740",24,3.7,5.2,51
Gallatin,"57,091","60,195","63,432",4,5.4,5.4,49
Garfield,"33,531","33,179","44,812",45,-1.0,35.1,1
Glacier,"34,427","37,035","41,773",50,7.6,12.8,21
Golden Valley,"48,783","50,027","56,481",13,2.6,12.9,20
Granite,"43,710","45,815","49,242",36,4.8,7.5,39
Hill,"45,108","45,987","50,018",32,1.9,8.8,34
Jefferson,"47,812","50,147","52,770",23,4.9,5.2,50
Judith Basin,"46,207","49,496","56,953",10,7.1,15.1,14
Lake,"39,371","40,842","44,068",47,3.7,7.9,38
Lewis and Clark,"48,692","50,915","54,040",20,4.6,6.1,45
Liberty,"37,409","45,195","51,268",27,20.8,13.4,18
Lincoln,"36,262","37,725","41,129",53,4.0,9.0,31
McCone,"36,640","39,147","48,924",37,6.8,25.0,5
Madison,"50,373","53,651","57,112",9,6.5,6.5,43
Meagher,"43,282","45,173","49,730",35,4.4,10.1,25
Mineral,"39,762","39,759","43,233",48,0.0,8.7,35
Missoula,"49,616","51,738","54,353",17,4.3,5.1,52
Musselshell,"44,064","46,093","49,756",34,4.6,7.9,37
Park,"49,790","52,934","55,213",15,6.3,4.3,55
Petroleum,"31,304","33,189","41,080",54,6.0,23.8,6
Phillips,"39,732","41,271","48,341",42,3.9,17.1,13
Pondera,"42,985","49,754","56,218",14,15.7,13.0,19
Powder River,"32,647","34,282","44,756",46,5.0,30.6,3
Powell,"41,785","43,912","47,024",43,5.1,7.1,41
Prairie,"48,723","47,483","57,918",7,-2.5,22.0,7
Ravalli,"45,201","47,253","49,860",33,4.5,5.5,48
Richland,"60,290","62,491","63,761",3,3.7,2.0,56
Roosevelt,"35,907","36,309","41,531",51,1.1,14.4,16
Rosebud,"43,776","45,239","50,566",31,3.3,11.8,23
Sanders,"35,851","37,345","41,398",52,4.2,10.9,24
Sheridan,"46,547","50,463","61,236",5,8.4,21.3,8
Silver Bow,"47,686","48,263","50,672",30,1.2,5.0,53
Stillwater,"52,948","54,288","57,382",8,2.5,5.7,46
Sweet Grass,"46,324","49,597","54,287",18,7.1,9.5,28
Teton,"46,228","48,870","53,172",22,5.7,8.8,33
Toole,"48,545","53,369","60,089",6,9.9,12.6,22
Treasure,"51,187","56,758","66,721",1,10.9,17.6,12
Valley,"45,634","47,510","54,556",16,4.1,14.8,15
Wheatland,"35,084","38,608","42,348",49,10.0,9.7,27
Wibaux,"37,860","41,155","48,913",38,8.7,18.9,10
Yellowstone,"52,508","54,213","56,588",12,3.2,4.4,54
,,,,,,,
Nebraska,"52,560","54,037","57,570",--,2.8,6.5,--
Adams,"48,052","50,017","53,232",61,4.1,6.4,83
Antelope,"49,157","55,033","69,121",9,12.0,25.6,3
Arthur,"44,076","46,098","53,618",57,4.6,16.3,23
Banner,"49,901","50,306","59,097",30,0.8,17.5,16
Blaine,"55,124","60,424","70,372",7,9.6,16.5,21
Boone,"51,585","58,601","69,564",8,13.6,18.7,11
Box Butte,"47,790","49,193","53,723",56,2.9,9.2,64
Boyd,"50,777","56,197","62,078",18,10.7,10.5,56
Brown,"50,644","55,182","60,280",24,9.0,9.2,63
Buffalo,"55,710","57,582","60,230",25,3.4,4.6,90
Burt,"45,269","49,088","53,602",58,8.4,9.2,65
Butler,"46,867","49,790","56,101",46,6.2,12.7,39
Cass,"51,466","53,998","57,220",39,4.9,6.0,85
Cedar,"48,285","50,389","58,373",33,4.4,15.8,24
Chase,"52,000","58,777","68,843",10,13.0,17.1,19
Cherry,"42,250","44,279","50,817",73,4.8,14.8,32
Cheyenne,"48,499","48,234","50,334",76,-0.5,4.4,91
Clay,"48,136","51,089","57,104",40,6.1,11.8,44
Colfax,"41,567","43,925","49,977",78,5.7,13.8,36
Cuming,"58,655","64,624","71,653",4,10.2,10.9,53
Custer,"45,353","48,095","54,458",52,6.0,13.2,38
Dakota,"41,843","44,062","47,062",86,5.3,6.8,80
Dawes,"36,886","38,323","43,101",92,3.9,12.5,41
Dawson,"42,358","44,940","49,096",81,6.1,9.2,62
Deuel,"42,827","40,437","43,738",91,-5.6,8.2,73
Dixon,"40,648","44,444","49,974",79,9.3,12.4,43
Dodge,"46,491","49,231","52,445",65,5.9,6.5,81
Douglas,"62,536","63,072","65,737",12,0.9,4.2,92
Dundy,"66,134","71,079","86,360",1,7.5,21.5,6
Fillmore,"55,061","57,255","63,206",14,4.0,10.4,57
Franklin,"46,042","49,798","57,959",34,8.2,16.4,22
Frontier,"37,562","38,425","46,216",88,2.3,20.3,9
Furnas,"41,781","45,337","53,727",55,8.5,18.5,12
Gage,"47,234","48,993","52,843",63,3.7,7.9,75
Garden,"43,386","46,002","50,671",74,6.0,10.1,59
Garfield,"38,679","41,582","47,856",83,7.5,15.1,30
Gosper,"46,389","49,937","59,049",31,7.6,18.2,13
Grant,"42,251","47,447","54,922",49,12.3,15.8,25
Greeley,"43,665","46,749","56,500",43,7.1,20.9,8
Hall,"43,251","44,457","47,793",84,2.8,7.5,77
Hamilton,"53,269","55,198","61,230",21,3.6,10.9,52
Harlan,"48,354","51,888","57,828",36,7.3,11.4,47
Hayes,"59,047","65,255","79,926",2,10.5,22.5,4
Hitchcock,"37,020","39,694","46,667",87,7.2,17.6,15
Holt,"50,052","51,745","59,853",27,3.4,15.7,26
Hooker,"49,972","47,804","54,516",51,-4.3,14.0,35
Howard,"42,807","45,971","50,857",72,7.4,10.6,54
Jefferson,"46,852","48,555","53,407",59,3.6,10.0,60
Johnson,"33,941","35,813","39,498",93,5.5,10.3,58
Kearney,"51,964","55,393","61,585",20,6.6,11.2,49
Keith,"46,216","47,398","51,040",70,2.6,7.7,76
Keya Paha,"49,059","49,847","66,705",11,1.6,33.8,2
Kimball,"44,821","44,529","50,075",77,-0.7,12.5,42
Knox,"45,053","46,679","53,356",60,3.6,14.3,34
Lancaster,"49,449","50,510","52,887",62,2.1,4.7,88
Lincoln,"48,335","49,610","54,043",53,2.6,8.9,68
Logan,"51,024","49,181","58,616",32,-3.6,19.2,10
Loup,"52,250","52,624","61,740",19,0.7,17.3,17
McPherson,"42,520","45,197","62,907",16,6.3,39.2,1
Madison,"49,412","51,413","55,104",48,4.0,7.2,79
Merrick,"42,782","46,880","50,870",71,9.6,8.5,72
Morrill,"52,631","56,516","63,120",15,7.4,11.7,45
Nance,"35,316","39,292","46,091",89,11.3,17.3,18
Nemaha,"46,286","48,589","51,548",68,5.0,6.1,84
Nuckolls,"48,906","51,840","59,449",28,6.0,14.7,33
Otoe,"52,757","54,989","57,873",35,4.2,5.2,87
Pawnee,"43,293","43,594","51,436",69,0.7,18.0,14
Perkins,"53,314","62,624","71,191",5,17.5,13.7,37
Phelps,"50,321","53,449","59,324",29,6.2,11.0,51
Pierce,"53,362","57,173","62,493",17,7.1,9.3,61
Platte,"46,316","48,042","52,316",66,3.7,8.9,69
Polk,"50,763","53,391","57,312",38,5.2,7.3,78
Red Willow,"44,441","46,409","52,196",67,4.4,12.5,40
Richardson,"47,393","49,555","54,773",50,4.6,10.5,55
Rock,"58,222","59,531","72,590",3,2.2,21.9,5
Saline,"41,949","43,935","47,785",85,4.7,8.8,70
Sarpy,"51,167","52,380","55,173",47,2.4,5.3,86
Saunders,"51,349","53,414","56,892",41,4.0,6.5,82
Scotts Bluff,"44,183","45,388","49,048",82,2.7,8.1,74
Seward,"50,032","51,580","56,220",45,3.1,9.0,67
Sheridan,"45,565","49,061","56,597",42,7.7,15.4,27
Sherman,"40,422","43,915","50,461",75,8.6,14.9,31
Sioux,"53,759","55,894","64,440",13,4.0,15.3,28
Stanton,"43,178","45,713","52,621",64,5.9,15.1,29
Thayer,"51,546","54,402","60,659",23,5.5,11.5,46
Thomas,"53,385","53,003","57,805",37,-0.7,9.1,66
Thurston,"36,075","39,140","45,789",90,8.5,17.0,20
Valley,"45,977","49,408","59,867",26,7.5,21.2,7
Washington,"55,607","58,047","60,738",22,4.4,4.6,89
Wayne,"42,332","44,259","49,143",80,4.6,11.0,50
Webster,"45,901","49,541","53,815",54,7.9,8.6,71
Wheeler,"55,761","68,540","70,710",6,22.9,3.2,93
York,"48,434","50,703","56,457",44,4.7,11.3,48
,,,,,,,
Nevada,"49,424","51,419","53,720",--,4.0,4.5,--
Churchill,"44,965","46,149","50,081",10,2.6,8.5,8
Clark,"47,184","49,225","51,244",7,4.3,4.1,16
Douglas,"72,605","75,241","78,416",1,3.6,4.2,15
Elko,"46,542","47,785","50,429",9,2.7,5.5,11
Esmeralda,"38,802","43,025","42,962",15,10.9,-0.1,17
Eureka,"38,085","42,637","46,792",12,12.0,9.7,4
Humboldt,"46,106","48,853","51,772",6,6.0,6.0,10
Lander,"66,040","69,494","72,931",2,5.2,4.9,12
Lincoln,"37,022","39,793","43,357",14,7.5,9.0,6
Lyon,"39,137","40,313","44,098",13,3.0,9.4,5
Mineral,"37,652","41,261","48,982",11,9.6,18.7,1
Nye,"38,414","39,673","41,367",16,3.3,4.3,14
Pershing,"32,047","33,337","37,906",17,4.0,13.7,2
Storey,"57,763","58,374","65,971",4,1.1,13.0,3
Washoe,"61,033","62,994","66,076",3,3.2,4.9,13
White Pine,"44,354","46,584","50,653",8,5.0,8.7,7
Carson City,"50,378","52,880","56,510",5,5.0,6.9,9
,,,,,,,
New Hampshire,"61,371","63,785","67,097",--,3.9,5.2,--
Belknap,"61,382","63,484","66,919",3,3.4,5.4,8
Carroll,"59,191","60,844","63,403",6,2.8,4.2,9
Cheshire,"51,590","53,190","56,088",9,3.1,5.4,7
Coos,"43,569","44,804","49,564",10,2.8,10.6,1
Grafton,"61,106","63,816","67,943",2,4.4,6.5,4
Hillsborough,"60,760","62,752","66,548",4,3.3,6.0,6
Merrimack,"57,516","59,936","63,839",5,4.2,6.5,3
Rockingham,"74,464","78,153","80,220",1,5.0,2.6,10
Strafford,"50,679","52,598","56,104",8,3.8,6.7,2
Sullivan,"52,583","54,260","57,602",7,3.2,6.2,5
,,,,,,,
New Jersey,"67,142","69,626","73,460",--,3.7,5.5,--
Atlantic,"48,110","51,247","55,802",18,6.5,8.9,3
Bergen,"85,191","88,241","91,972",4,3.6,4.2,18
Burlington,"61,140","63,528","67,154",12,3.9,5.7,13
Camden,"53,026","54,958","58,830",16,3.6,7.0,7
Cape May,"60,246","63,203","67,836",10,4.9,7.3,5
Cumberland,"39,448","41,327","45,498",21,4.8,10.1,1
Essex,"63,521","65,927","70,497",9,3.8,6.9,8
